AP;Biblioteca;10
AP;Teatro;7
AP;Pavilhao;5
AP;Topo;9
AP;Topo;ParqueInfantil;16
AP;Topo;ParqueInfantil;Macieirinha;26
AP;Topo;Miradouro;Fontaine;20
AP;Topo;Miradouro;12
AP;Topo;Capela;13
AP;Topo;Miradouro;Torreao;21
AP;Lago;9
AP;Escadas1;Escadas2;Escadas3;18
AP;Escadas1;Escadas2;Sentimentos;20
AP;Escadas1;Escadas2;CasaRoseiral;17
AP;Escadas1;Escadas2;JardimRoseiral;16
AP;Escadas1;Escadas2;13
AP;Escadas1;10
