590,9.0183
5990,446.03644
6590,549.63442
7190,664.48808
7790,771.91686
8390,917.1013
8990,1072.43608
9590,1248.9333000000001
10190,1467.0282399999999
10790,1654.86142
11390,1849.31986
1190,12.594280000000001
11990,2123.49662
12590,2367.72572
13190,2631.80768
13790,2818.9528
14390,3123.58188
14990,3425.9796199999996
15590,3595.8013
16190,4046.7985
16790,4338.07116
17390,4659.449640000001
1790,32.096199999999996
17990,4990.3171999999995
2390,60.59198
2990,97.38486
3590,145.3211
4190,196.83146000000002
4790,263.82982000000004
5390,339.46392000000003
